Student,Exam,Minute,EDA,BVP,TEMP,HR,Grade
S1,Midterm 1,0,0.023038604,-0.025354167,22.519,102.3966667,78
S1,Midterm 1,1,0.023140012,0.005171875,22.602,115.1105,78
S1,Midterm 1,2,0.023188113,5.99E-05,22.66566667,159.1893333,78
S1,Midterm 1,3,0.023209413,0.003872396,22.705,184.2013333,78
S1,Midterm 1,4,0.0232842,0.001859375,22.731,139.7333333,78
S1,Midterm 1,5,0.023268175,0.005674479,22.752,111.7593333,78
S1,Midterm 1,6,0.023268158,0.001661458,22.777,127.2796667,78
S1,Midterm 1,7,0.023390975,-0.000588542,22.823,145.8111667,78
S1,Midterm 1,8,0.023396342,0.002304688,22.86133333,142.2928333,78
S1,Midterm 1,9,0.023487058,0.001065104,22.901,152.6505,78
S1,Midterm 1,10,0.023545804,0.002085938,22.929,142.0166667,78
S1,Midterm 1,11,0.023529808,0.000380208,22.94266667,110.8886667,78
S1,Midterm 1,12,0.023673983,0.00046875,22.966,105.7246667,78
S1,Midterm 1,13,0.023711342,-0.000882813,22.99333333,106.6855,78
S1,Midterm 1,14,0.023679313,-0.000528646,23.00033333,115.3376667,78
S1,Midterm 1,15,0.023684629,-0.000585937,23.03133333,130.4985,78
S1,Midterm 1,16,0.023711338,0.001830729,23.04233333,109.6818333,78
S1,Midterm 1,17,0.023775429,-0.001835938,23.067,100.9601667,78
S1,Midterm 1,18,0.023770092,0.003226563,23.07933333,114.1701667,78
S1,Midterm 1,19,0.023802125,-0.000856771,23.08866667,120.9406667,78
S1,Midterm 1,20,0.023844846,0.000921875,23.09766667,146.8918333,78
S1,Midterm 1,21,0.023930292,-0.000658854,23.12066667,156.3173333,78
S1,Midterm 1,22,0.023844838,-0.000544271,23.13566667,172.5935,78
S1,Midterm 1,23,0.024010358,-0.000447917,23.151,159.6795,78
S1,Midterm 1,24,0.023876863,0.002695312,23.15633333,123.6533333,78
S1,Midterm 1,25,0.023940971,-0.001768229,23.175,114.0123333,78
S1,Midterm 1,26,0.023898233,0.000619792,23.224,108.5713333,78
